Modelo,RMSE,MAE,R2
Regresión Lineal Múltiple (RLM),0.8080676624412039,0.5658184219794126,0.3222404644919175
Árbol de Decisión,0.8006210344858584,0.56412869580523,0.3397383246624105
Random Forest,0.678322577279916,0.4727565292219349,0.514420636210309
XGBoost,0.652433428316143,0.43621677785857177,0.555415918147408
