Variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),6.551694511970066,0.03247095398998646,201.7709277648728,0
"poly(superficie_total, 2)1",-20.669857886007136,0.856138089775696,-24.143135474117894,3.665551010827938e-108
"poly(superficie_total, 2)2",8.938981624723795,0.831874147912795,10.745593726108753,6.012711085279155e-26
"poly(superficie_parcela, 2)1",-2.5858600986276428,0.8694201704604817,-2.9742352276668047,0.0029868410520513967
"poly(superficie_parcela, 2)2",2.210491464291717,0.8571616881351412,2.5788500523173266,0.010012999062935136
acceso_credito,-0.11087378512748829,0.07800752104609851,-1.421321734630786,0.15544312623795856
usa_fertilizante,0.17299592510276354,0.044321232384891794,3.9032291250487505,9.937213531397019e-5
capacitacion,-0.26246695072801624,0.09512748967009416,-2.75910729525463,0.005870480896175336
pertenece_asociacion,0.1406134874723149,0.07844565145040623,1.7924956307005941,0.0732667064154817
LONGITUD,0.15146168848787375,0.05342671681658905,2.8349428434435398,0.004648412367170646
